OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-09065100,"CROSS CREEK NEAR MINTURN, CO",Stream,,14010003,34.0,sq mi,,,39.56829167000000,-106.4124306000000,24000,1,seconds,Interpolated from MAP.,NAD83,7992,feet,5,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09065500,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",Stream,,14010003,14.5,sq mi,,,39.62581930000000,-106.2780823000000,,1,seconds,Interpolated from MAP.,NAD83,8600,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066000,"BLACK GORE CREEK NEAR MINTURN, CO.",Stream,,14010003,12.5,sq mi,,,39.59637495000000,-106.2650264000000,,5,seconds,Interpolated from MAP.,NAD83,9150.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066050,"BLACK GORE CREEK NEAR VAIL, CO.",Stream,,14010003,19.6,sq mi,,,39.62331930000000,-106.2803046000000,,5,seconds,Interpolated from MAP.,NAD83,8570.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066100,"BIGHORN CREEK NEAR MINTURN, CO",Stream,,14010003,4.54,sq mi,,,39.63998590000000,-106.2933605000000,24000,5,seconds,Interpolated from MAP.,NAD83,8625,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066150,"PITKIN CREEK NEAR MINTURN, CO.",Stream,,14010003,5.32,sq mi,,,39.64359705000000,-106.3025273000000,,5,seconds,Interpolated from MAP.,NAD83,8525.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066200,"BOOTH CREEK NEAR MINTURN, CO.",Stream,,14010003,6.18,sq mi,,,39.64831927000000,-106.3230833000000,,1,minutes,Interpolated from MAP.,NAD83,8325,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066250,"GORE CREEK AT VAIL, CO.",Stream,,14010003,57.3,sq mi,,,39.64304150000000,-106.3461394000000,,5,seconds,Interpolated from MAP.,NAD83,8250.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066300,"MIDDLE CREEK NEAR MINTURN, CO.",Stream,,14010003,5.96,sq mi,,,39.64581930000000,-106.3822512000000,,1,minutes,Interpolated from MAP.,NAD83,8200,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066310,"GORE CREEK, LOWER STATION, AT VAIL, COLORADO",Stream,,14010003,77.1,sq mi,,,39.64109710000000,-106.3941959000000,24000,5,seconds,Interpolated from MAP.,NAD83,8060,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066325,"GORE CREEK ABV RED SANDSTONE CREEK AT VAIL, CO",Stream,,14010003,77.1,sq mi,,,39.64109710000000,-106.3947515000000,24000,5,seconds,Interpolated from MAP.,NAD83,8055,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066400,"RED SANDSTONE CREEK NEAR MINTURN, CO.",Stream,,14010003,7.34,sq mi,,,39.68276376000000,-106.4014184000000,,1,seconds,Interpolated from MAP.,NAD83,9212,feet,1,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066510,"GORE CREEK AT MOUTH NEAR MINTURN, CO",Stream,,14010003,102,sq mi,,,39.60943048000000,-106.4478080000000,24000,1,minutes,Interpolated from MAP.,NAD83,7730,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09067000,"BEAVER CREEK AT AVON, CO",Stream,,14010003,14.7,sq mi,,,39.62970826000000,-106.5228096000000,24000,1,seconds,Interpolated from MAP.,NAD83,7453,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09067005,"EAGLE RIVER AT AVON, CO.",Stream,,14010003,395,sq mi,,,39.63165270000000,-106.5225318000000,,5,seconds,Interpolated from MAP.,NAD83,7410,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09067020,"EAGLE R BLW WASTEWATER TREATMENT PLANT AT AVON, CO",Stream,,14010003,401,sq mi,,,39.63486110000000,-106.5319444000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,7380,feet,10,feet,Interpolated from topographic map.,NAVD88,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09067200,"LAKE CREEK NEAR EDWARDS, CO",Stream,,14010003,49.0,sq mi,,,39.64748600000000,-106.6092003000000,24000,5,seconds,Interpolated from MAP.,NAD83,7160,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09068500,"BRUSH CREEK AT EAGLE, CO",Stream,,14010003,147,sq mi,,,39.64700000000000,-106.8415278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6520,feet,20,feet,Interpolated from topographic map.,NAVD88,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09069000,"EAGLE RIVER AT GYPSUM, CO",Stream,,14010003,842,sq mi,,,39.64998510000000,-106.9522665000000,24000,1,seconds,Interpolated from MAP.,NAD83,6276,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09069900,"GYPSUM CREEK AT GYPSUM, CO.",Stream,,14010003,103,sq mi,,,39.64887399000000,-106.9522665000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09070000,"EAGLE RIVER BELOW GYPSUM, CO.",Stream,,14010003,945,sq mi,,,39.64942954000000,-106.9536554000000,,1,seconds,Interpolated from MAP.,NAD83,6275.11,feet,.02,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392440106150400,"E F EAGLE R AB SHEEP GL NR CAMP HALE, CO.",Stream,,14010003,,,,,39.41109870000000,-106.2516913000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392511106164000,"EAST FORK EAGLE RIVER NEAR RED CLIFF, CO",Stream,,14010003,10.9,sq mi,,,39.41970960000000,-106.2783587000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392513106184500,S. FORK EAGLE R. ABV. E. FORK EAGLE R. NR REDCLIFF,Stream,,14010003,,,,,39.42026507000000,-106.3130817000000,24000,1,seconds,Interpolated from MAP.,NAD83,9280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392518106184700,E FORK EAGLE R AT MOUTH BLW CLIMAX,Stream,,14010003,,,,,39.42165390000000,-106.3136372000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392814106434600,W BRUSH CR ABV SYLVAN L NR EAGLE,Stream,,14010003,,,,,39.47054048000000,-106.7300361000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393029106224701,EAGLE RIVER BELOW HOMESTAKE CREEK AT REDCLIFF,Stream,,14010003,,,,,39.50804169000000,-106.3803062000000,,1,minutes,Interpolated from MAP.,NAD83,8590.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393030106224700,"EAGLE RIVER BLW HOMESTAKE CREEK NR RED CLIFF, CO",Stream,,14010003,,,,,39.50833330000000,-106.3797222000000,24000,1,seconds,Interpolated from MAP.,NAD83,8820,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393045106404000,EAST BRUSH CR AT YEOMAN PARK NR EAGLE,Stream,,14010003,,,,,39.51248506000000,-106.6783683000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393057106232301,PETERSON CREEK AT MOUTH,Stream,,14010003,,,,,39.51581940000000,-106.3903064000000,,1,minutes,Interpolated from MAP.,NAD83,8510.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393123106234501,EAGLE RIVER ABOVE BELDEN MINE,Stream,,14010003,,,,,39.52304165000000,-106.3964177000000,,1,minutes,Interpolated from MAP.,NAD83,8400.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393125106241601,FALL CREEK ABOVE POWER PLANT DIVERSION,Stream,,14010003,,,,,39.52359719000000,-106.4050290000000,,1,minutes,Interpolated from MAP.,NAD83,9080.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393128106233801,MINE DRAINAGE ABOVE BELDEN MINE,Stream,,14010003,,,,,39.52443050000000,-106.3944732000000,,1,minutes,Interpolated from MAP.,NAD83,8440.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393133106234201,ROASTER PILE RUNOFF NEAR BELDEN POWER PLANT,Stream,,14010003,,,,,39.52581940000000,-106.3955843000000,,1,minutes,Interpolated from MAP.,NAD83,8460.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393137106240001,FALL CREEK AT MOUTH,Stream,,14010003,,,,,39.52693050000000,-106.4005844000000,,1,minutes,Interpolated from MAP.,NAD83,8370.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393139106234401,BELDEN MINE EFFLUENT,Stream,,14010003,,,,,39.52748609000000,-106.3961399000000,,1,minutes,Interpolated from MAP.,NAD83,8400.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393139106240101,EAGLE RIVER BELOW FALL CREEK,Stream,,14010003,,,,,39.52748608000000,-106.4008622000000,,1,minutes,Interpolated from MAP.,NAD83,8380.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393157106235501,ROCK CREEK AT MOUTH,Stream,,14010003,,,,,39.53248608000000,-106.3991955000000,,1,minutes,Interpolated from MAP.,NAD83,8320.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393212106125800,BLACK GORE CREEK ABV BLACK LAKE,Stream,,14010003,,,,,39.53665300000000,-106.2166913000000,24000,1,seconds,Interpolated from MAP.,NAD83,10500,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393221106450700,EAST BRUSH CREEK ABOVE CONFLUENCE,Stream,,14010003,,,,,39.53916667000000,-106.7519444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7630,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393227106451700,E BRUSH CR AT MOUTH NR EAGLE,Stream,,14010003,,,,,39.54081829000000,-106.7553145000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393233106241401,BISHOP GULCH AT MOUTH,Stream,,14010003,,,,,39.54248607000000,-106.4044735000000,,1,minutes,Interpolated from MAP.,NAD83,8190.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393245106241501,EAGLE RIVER BELOW BISHOP GULCH,Stream,,14010003,,,,,39.54581940000000,-106.4047513000000,,1,minutes,Interpolated from MAP.,NAD83,8150.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393307106133200,BLACK GORE CREEK BELOW BLACK LAKE 2,Stream,,14010003,,,,,39.55193070000000,-106.2261361000000,24000,1,seconds,Interpolated from MAP.,NAD83,10350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393318106240400,EAGLE R ABV CROSS CR NR MINTURN,Stream,,14010003,,,,,39.55498606000000,-106.4016957000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393336106235701,EAGLE RIVER ABOVE TWO ELK CREEK,Stream,,14010003,,,,,39.55998606000000,-106.3997512000000,,1,minutes,Interpolated from MAP.,NAD83,8030.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393350106251200,CROSS CR ABV BATTLE MTN SCHOOL NR MINTURN,Stream,,14010003,,,,,39.56387490000000,-106.4205850000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393353106240301,TWO ELK CREEK AT MOUTH,Stream,,14010003,,,,,39.56470828000000,-106.4014179000000,,1,minutes,Interpolated from MAP.,NAD83,8010.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393358106243401,CROSS CREEK TAILINGS PILE SEEP,Stream,,14010003,,,,,39.56609716000000,-106.4100292000000,,1,minutes,Interpolated from MAP.,NAD83,8000.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393358106243601,CROSS CREEK TAILINGS PILE DISCHARGE,Stream,,14010003,,,,,39.56609716000000,-106.4105848000000,,1,minutes,Interpolated from MAP.,NAD83,8000.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393411106242001,EAGLE RIVER ABOVE CROSS CREEK,Stream,,14010003,,,,,39.56970827000000,-106.4061403000000,,1,minutes,Interpolated from MAP.,NAD83,7980.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393413106242301,CROSS CREEK AT MOUTH,Stream,,14010003,,,,,39.57026380000000,-106.4069736000000,,1,minutes,Interpolated from MAP.,NAD83,7980.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393443106245201,UNNAMED TRIBUTARY EAGLE R.ABOVE MINTURN,Stream,,14010003,,,,,39.57859715000000,-106.4150294000000,,1,minutes,Interpolated from MAP.,NAD83,7960.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393454106252201,EAGLE RIVER ABOVE MINTURN,Stream,,14010003,,,,,39.58165270000000,-106.4233629000000,,1,minutes,Interpolated from MAP.,NAD83,7870.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393454106252301,MARTIN CREEK AT MOUTH,Stream,,14010003,,,,,39.58165270000000,-106.4236407000000,,1,minutes,Interpolated from MAP.,NAD83,7870.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393501106313200,"BEAVER CREEK ABOVE AVON, CO",Stream,,14010003,,,,,39.58361110000000,-106.5255556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8840,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393523106364700,"WEST LAKE CREEK NEAR EDWARDS, CO",Stream,,14010003,,,,,39.58972220000000,-106.6130556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8300,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393527106143500,POLK CREEK AT INTERSTATE 70,Stream,,14010003,4.20,sq mi,4.2,sq mi,39.59081940000000,-106.2436369000000,24000,1,seconds,Interpolated from MAP.,NAD83,9560,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393543106260001,GROUSE CREEK AT MOUTH,Stream,,14010003,,,,,39.59526380000000,-106.4339187000000,,1,minutes,Interpolated from MAP.,NAD83,7820.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393548106255201,GAME CREEK AT MOUTH,Stream,,14010003,,,,,39.59665270000000,-106.4316965000000,,1,minutes,Interpolated from MAP.,NAD83,7830.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393627106264000,"EAGLE RIVER ABOVE GORE CREEK NR. MINTURN, CO",Stream,,14010003,260,sq mi,,,39.60748600000000,-106.4450301000000,24000,1,seconds,Interpolated from MAP.,NAD83,7730,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393638106271401,EAGLE RIVER BELOW GORE CREEK,Stream,,14010003,,,,,39.61054159000000,-106.4544748000000,,1,minutes,Interpolated from MAP.,NAD83,7680.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393649106263201,GORE CREEK NEAR DOWDS JUNCTION,Stream,,14010003,,,,,39.61359715000000,-106.4428079000000,,1,minutes,Interpolated from MAP.,NAD83,7760.00,feet,10,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393655106453001,"SALT CREEK BELOW BRUSH CREEK NEAR EAGLE, CO",Stream,,14010003,,,,,39.61526340000000,-106.7589257000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393710106492001,ABRAMS CREEK,Stream,,14010003,,,,,39.61942980000000,-106.8228170000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393713106253900,"GORE CREEK AT WEST VAIL, CO.",Stream,,14010003,,,,,39.62026380000000,-106.4280854000000,24000,1,seconds,Interpolated from MAP.,NAD83,7820,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393720106370001,EAST LAKE CREEK,Stream,,14010003,,,,,39.62220810000000,-106.6172560000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393737106165900,"GORE CREEK BLW BLACK GORE CREEK NEAR VAIL, CO.",Stream,,14010003,,,,,39.62693040000000,-106.2836380000000,24000,1,seconds,Interpolated from MAP.,NAD83,8545,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393738106251000,GORE CREEK AT WEST VAIL EXIT,Stream,,14010003,,,,,39.62720825000000,-106.4200297000000,24000,1,seconds,Interpolated from MAP.,NAD83,7900,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393755106311800,EAGLE RIVER AT AVON,Stream,,14010003,,,,,39.63193049000000,-106.5222540000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393756106244300,"GORE CREEK BELOW BUFFEHR CREEK NEAR WEST VAIL, CO.",Stream,,14010003,,,,,39.63220824000000,-106.4125296000000,24000,1,seconds,Interpolated from MAP.,NAD83,7940,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393801106244800,BUFFER CREEK NR VAIL,Stream,,14010003,,,,,39.63359710000000,-106.4139185000000,24000,5,seconds,Interpolated from MAP.,NAD83,8000,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
